Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num overstaining	Area µm^2	Perimeter µm
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-13 - PathAnnotationObject		D-13	D-13	Polygon	20399.6	6717.1	6116	0	1228595.4	5892.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-2 - PathAnnotationObject		K-2	K-2	Polygon	4030.9	17121.9	5391	0	1042091.1	4522.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-8 - PathAnnotationObject		C-8	C-8	Geometry	12835	4761.6	7418	0	1128482.6	5916.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-8 - PathAnnotationObject		J-8	J-8	Polygon	12678.8	15845.9	9385	0	1162692.9	11564.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-13 - PathAnnotationObject		C-13	C-13	Geometry	20393.3	5239.7	9760	0	1116502.1	9867.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-4 - PathAnnotationObject		D-4	D-4	Polygon	6930.6	6237.9	3441	0	1147692.2	7489.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-11 - PathAnnotationObject		H-11	H-11	Polygon	17149.3	12686.2	7522	0	1104328.5	6698.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-2 - PathAnnotationObject		L-2	L-2	Polygon	3999.6	18563.6	3451	0	1130111.3	4891.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-6 - PathAnnotationObject		J-6	J-6	Polygon	9779.1	15861.4	10517	0	1115168	5302.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-1 - PathAnnotationObject		F-1	F-1	Polygon	2547.4	9276.7	1864	0	1123254.7	6796.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-2 - PathAnnotationObject		C-2	C-2	Polygon	3883.4	4725.8	11001	0	1197290.9	5943.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-5 - PathAnnotationObject		H-5	H-5	Geometry	8191	12484.2	5202	0	766910	19292.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-8 - PathAnnotationObject		H-8	H-8	Polygon	12711.9	12731.2	5683	0	1134614.1	5805.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-13 - PathAnnotationObject		I-13	I-13	Polygon	20037.2	14362.2	2395	0	826953.5	6266.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-9 - PathAnnotationObject		G-9	G-9	Polygon	14218.7	11179.8	5182	0	1145116.2	4484.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-2 - PathAnnotationObject		E-2	E-2	Polygon	3750	7724	1401	0	963414.9	6793.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-11 - PathAnnotationObject		L-11	L-11	Geometry	17090.1	19103.2	2536	0	551614.2	6535.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-7 - PathAnnotationObject		L-7	L-7	Geometry	11259.9	18898.3	6063	0	1153605	6241.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-6 - PathAnnotationObject		I-6	I-6	Polygon	9659.7	14055	2952	0	993442.5	8191.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-8 - PathAnnotationObject		G-8	G-8	Polygon	12681.7	11020.5	6233	0	1208034.1	5453.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-5 - PathAnnotationObject		I-5	I-5	Polygon	8167.4	14424.8	3339	0	356642.6	2988.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-4 - PathAnnotationObject		K-4	K-4	Geometry	6723.2	17330.8	697	0	388659.1	7334.4
